size,threads,config,simple,strassen,simple_parallel,strassen_2layers,strassen_recursive,speedup_strassen,simple_vs_simple_parallel,strassen_vs_simple_parallel,strassen_vs_strassen_2layers,strassen_vs_strassen_recursive
1024,1,1,1.398434,0.865305,1.389289,1.153132,1.310802,1.61611686052895,1.00658250371233,0.622840172203192,0.75039544475394,0.660134024818394
1024,2,2,1.398434,0.865305,0.971442,0.59304,0.695226,1.61611686052895,1.4395445121788,0.890742833849062,1.45910056657224,1.2446384341207
1024,5,3,1.398434,0.865305,0.553343,0.519771,0.526373,1.61611686052895,2.52724621075897,1.56377689787347,1.66478122096077,1.64390080798217
1024,10,4,1.398434,0.865305,0.144537,0.156175,0.248389,1.61611686052895,9.67526654074735,5.98673696008634,5.54061149351689,3.4836687614991
1024,20,5,1.398434,0.865305,0.158652,0.139069,0.112325,1.61611686052895,8.81447444721781,5.45410710233719,6.22212714551769,7.7035833518807
1024,40,6,1.398434,0.865305,0.117932,0.087206,0.112292,1.61611686052895,11.8579689990842,7.3373215073093,9.92253973350458,7.70584725536993
1024,60,7,1.398434,0.865305,0.103425,0.114793,0.10265,1.61611686052895,13.521237611796,8.36649746192894,7.53795963168486,8.42966390647833
