
256, 1, 0.067685, 0.017583, 0.006889, 0.530074, 0.006768 
256, 2, , , 0.005216, 0.533812, 0.006757 
256, 5, , , 0.006148, 0.512388, 0.004506 
256, 10, , , 0.006427, 0.527711, 0.004396 
256, 20, , , 0.006445, 0.517071, 0.006402 
256, 40, , , 0.004149, 0.517206, 0.006520 
256, 60, , , 0.006452, 0.518791, 0.005621 
512, 1, 0.178428, 0.122112, 0.021771, 0.524299, 0.017502 
512, 2, , , 0.015314, 0.523744, 0.015910 
512, 5, , , 0.013447, 0.534468, 0.017901 
512, 10, , , 0.015541, 0.532786, 0.025250 
512, 20, , , 0.021772, 0.562906, 0.017988 
512, 40, , , 0.023176, 0.574385, 0.017295 
512, 60, , , 0.014038, 0.526576, 0.017813 
1024, 1, 2.784063, 1.209860, 0.119628, 0.932134, 0.162182 
1024, 2, , , 0.179128, 1.055173, 0.154801 
1024, 5, , , 0.187520, 0.939827, 0.171134 
1024, 10, , , 0.160469, 1.030029, 0.127913 
1024, 20, , , 0.170423, 1.090242, 0.167550 
1024, 40, , , 0.198700, 1.002644, 0.141662 
1024, 60, , , 0.201062, 1.030214, 0.150596 
2048, 1, 22.859505, 6.102495, 0.741089, 1.034101, 3.951643 
2048, 2, , , 0.771760, 1.133037, 0.578625 
2048, 5, , , 0.628002, 0.599170, 0.605727 
2048, 10, , , 0.757355, 0.522113, 0.632195 
2048, 20, , , 0.702916, 0.608159, 0.602459 
2048, 40, , , 0.731597, 0.403906, 0.597203 
2048, 60, , , 0.564674, 0.604369, 0.595535 
4096, 1, 202.642639, 43.223625, 8.251306, 3.369084, 3.211198 
4096, 2, , , 8.114008, 4.150726, 3.171359 
4096, 5, , , 8.207962, 3.587806, 3.437973  
4096, 10, , , 8.073849, 3.818327, 3.111702 
4096, 20, , , 8.197548, 4.297323, 2.984120 
4096, 40, , , 8.050912, 3.888551, 3.635669 
4096, 60, , , 8.002801, 3.635709, 3.264490 
8192, 10, , , 67.045387, 39.362297, 22.717945 
8192, 20, , , 66.657188, 38.019287, 23.314278 
8192, 40, , , 66.528038, 37.332108, 25.851816 
8192, 60, , , 66.656578, 36.872650, 24.118156
 
